brandName,category,size,footlength
Relaxo,Footwear,6,24.6
Relaxo,Footwear,7,25.4
Relaxo,Footwear,8,26.2
Relaxo,Footwear,9,27.1
Relaxo,Footwear,10,27.9
Relaxo,Footwear,11,28.8
Relaxo,Footwear,12,29.6
Liberty,Footwear,1,21.0
Liberty,Footwear,2,21.7
Liberty,Footwear,2.5,22.3
Liberty,Footwear,3,23.0
Liberty,Footwear,4,23.7
Liberty,Footwear,5,24.3
Liberty,Footwear,6,25.0
Liberty,Footwear,6.5,25.7
Liberty,Footwear,7,26.3
Liberty,Footwear,8,27.0
Woodland,Footwear,2,22.8
Woodland,Footwear,3,23.5
Woodland,Footwear,4,24.1
Woodland,Footwear,5,24.8
Woodland,Footwear,6,25.5
Woodland,Footwear,7,26.0
Woodland,Footwear,8,26.7
RedTape,Footwear,4,21.25
RedTape,Footwear,5,22.05
RedTape,Footwear,6,22.9
RedTape,Footwear,7,23.75
RedTape,Footwear,8,24.55
RedTape,Footwear,9,25.35
RedTape,Footwear,10,26.15
Reebok,Footwear,3,21.8
Reebok,Footwear,3.5,22.3
Reebok,Footwear,4,22.8
Reebok,Footwear,4.5,23.2
Reebok,Footwear,5,23.7
Reebok,Footwear,5.5,24.1
Reebok,Footwear,6,24.5
Reebok,Footwear,6.5,25.0
Reebok,Footwear,7,25.4
Reebok,Footwear,7.5,25.8
Reebok,Footwear,8,26.2
Reebok,Footwear,8.5,26.7
Reebok,Footwear,3,21.8
Reebok,Footwear,3.5,22.3
Reebok,Footwear,4,22.8
Reebok,Footwear,4.5,23.2
Reebok,Footwear,5,23.7
Reebok,Footwear,5.5,24.1
Reebok,Footwear,6,24.5
Reebok,Footwear,6.5,25.0
Reebok,Footwear,7,25.4
Reebok,Footwear,7.5,25.8
Reebok,Footwear,8,26.2
Reebok,Footwear,8.5,26.7
Fizzy Goblet,Footwear,5,22.5
Fizzy Goblet,Footwear,6,23.0
Fizzy Goblet,Footwear,7,23.5
Fizzy Goblet,Footwear,8,24.0
Fizzy Goblet,Footwear,9,24.5
Fizzy Goblet,Footwear,10,25.0
Fizzy Goblet,Footwear,11,26.0
Ocedee,Footwear,2,21.6
Ocedee,Footwear,3,22.3
Ocedee,Footwear,4,23.0
Ocedee,Footwear,5,23.7
Ocedee,Footwear,5.5,24.3
Ocedee,Footwear,6.5,25.0
Ocedee,Footwear,7,25.7
Ocedee,Footwear,8,26.3
Ocedee,Footwear,9,27.0
Ocedee,Footwear,10,27.7
Chal Shoes,Footwear,2,21.5
Chal Shoes,Footwear,3,22.1
Chal Shoes,Footwear,4,22.8
Chal Shoes,Footwear,5,23.5
Chal Shoes,Footwear,6,24.1
Chal Shoes,Footwear,7,24.8
Chal Shoes,Footwear,8,25.5
Chal Shoes,Footwear,9,26.1
Chal Shoes,Footwear,10,26.8
Monrow,Footwear,2,22.0
Monrow,Footwear,3,22.7
Monrow,Footwear,4,23.3
Monrow,Footwear,5,24.0
Monrow,Footwear,6,24.7
Monrow,Footwear,7,25.3
Monrow,Footwear,8,26.0
Monrow,Footwear,9,26.7
Madish,Footwear,2,22.3
Madish,Footwear,3,23.0
Madish,Footwear,4,23.6
Madish,Footwear,5,24.2
Madish,Footwear,6,24.8
Madish,Footwear,7,25.4
Madish,Footwear,8,26.0
Kanvas Kloset,Footwear,3,22.0
Kanvas Kloset,Footwear,4,22.5
Kanvas Kloset,Footwear,5,23.5
Kanvas Kloset,Footwear,6,24.1
Kanvas Kloset,Footwear,7,24.6
Kanvas Kloset,Footwear,8,25.1
Adidas,Footwear,3.5,22.1
Adidas,Footwear,4,22.5
Adidas,Footwear,4.5,22.9
Adidas,Footwear,5,23.3
Adidas,Footwear,5.5,23.8
Adidas,Footwear,6,24.2
Adidas,Footwear,6.5,24.6
Adidas,Footwear,7,25.0
Adidas,Footwear,7.5,25.5
Adidas,Footwear,8,25.9
Adidas,Footwear,8.5,26.3
Adidas,Footwear,9,26.7
Adidas,Footwear,9.5,27.1
Adidas,Footwear,10,27.6
Nike,Footwear,3,22.4
Nike,Footwear,3.5,22.9
Nike,Footwear,4,23.3
Nike,Footwear,4.5,23.7
Nike,Footwear,5,24.1
Nike,Footwear,5.5,24.5
Nike,Footwear,6,25.0
Nike,Footwear,6.5,25.4
Nike,Footwear,7,25.8
Nike,Footwear,7.5,26.2
Nike,Footwear,8,26.7
Nike,Footwear,8.5,27.1
Nike,Footwear,9,27.5
Nike,Footwear,9.5,27.9
Nike,Footwear,10,28.3
