brandName,category,size,bust,waist,hip,shoulder,sleeve,length
And,Top,4XS,24.5,34.5,32.5,,,
And,Top,3XS,26.5,36.5,35.0,,,
And,Top,2XS,28.5,38.5,36.5,,,
And,Top,XS,31.5,41.5,40.0,,,
And,Top,S,36.25,46.25,44.0,,,
And,Top,M,41.0,51.0,48.0,,,
And,Top,L,45.0,55.0,52.0,,,
And,Top,XL,49.5,59.0,56.5,,,
And,Top,2XL,54.5,64.5,61.5,,,
And,Top,3XL,61.0,71.0,67.5,,,
And,Top,4XL,68.0,78.0,73.5,,,
Biba,Top,S,32.5,28.5,36.5,14.0,,
Biba,Top,M,34.5,30.5,38.5,14.25,,
Biba,Top,L,36.5,32.5,40.5,14.75,,
Biba,Top,XL,38.5,34.5,42.5,15.25,,
Biba,Top,XXL,40.5,37.0,44.5,15.75,,
Biba,Top,XXXL,42.5,40.5,47.5,16.25,,
Fab India,Top,XS,32.0,26.0,35.0,14.0,,
Fab India,Top,S,34.0,28.0,37.0,14.0,,
Fab India,Top,M,36.0,30.0,39.0,15.0,,
Fab India,Top,L,39.0,33.0,42.0,16.0,,
Fab India,Top,XL,42.0,36.0,45.0,16.0,,
Fab India,Top,2XL,45.0,39.0,48.0,17.0,,
Fab India,Top,3XL,48.0,42.0,51.0,17.0,,
Global Desi,Top,2XS,30.0,23.0,32.0,,,
Global Desi,Top,XS,32.0,25.0,34.0,,,
Global Desi,Top,S,34.0,27.0,36.0,,,
Global Desi,Top,M,36.0,29.0,38.0,,,
Global Desi,Top,L,38.0,31.0,40.0,,,
Global Desi,Top,XL,40.0,33.0,42.0,,,
Global Desi,Top,2XL,42.0,35.0,44.0,,,
Global Desi,Top,3XL,44.0,37.0,46.0,,,
Indya,Top,XS,32.0,24.0,34.0,,,
Indya,Top,S,34.0,26.0,36.0,,,
Indya,Top,M,36.0,28.0,38.0,,,
Indya,Top,L,38.0,30.0,40.0,,,
Indya,Top,XL,40.0,32.0,42.0,,,
Indya,Top,2XL,42.0,34.0,44.0,,,
Indya,Top,3XL,44.0,36.0,46.0,,,
Indya,Top,4XL,46.0,38.0,48.0,,,
Nike,Top,2XS,28.5,22.5,31.75,,,
Nike,Top,XS,31.0,24.75,34.25,,,
Nike,Top,S,34.0,27.5,37.0,,,
Nike,Top,M,36.75,30.25,39.75,,,
Nike,Top,L,39.5,33.0,42.5,,,
Nike,Top,XL,42.75,36.5,45.5,,,
Nike,Top,2XL,46.5,40.5,48.5,,,
Jaypore,Top,XS,32.0,26.0,36.0,13.5,,
Jaypore,Top,S,34.0,28.0,38.0,14.0,,
Jaypore,Top,M,36.0,30.0,40.0,14.5,,
Jaypore,Top,L,38.0,32.0,42.0,15.0,,
Jaypore,Top,XL,41.0,34.0,45.0,15.5,,
Jaypore,Top,2XL,44.0,36.0,48.0,16.0,,
Melange,Top,XS,33.0,28.0,36.0,13.3,,
Melange,Top,S,35.0,30.0,38.0,13.8,,
Melange,Top,M,37.0,32.0,40.0,14.3,,
Melange,Top,L,39.0,34.0,42.0,14.8,,
Melange,Top,XL,41.0,36.0,44.0,15.3,,
Melange,Top,2XL,43.0,38.0,46.0,15.8,,
Melange,Top,3XL,45.0,40.0,48.0,16.2,,
Anokhi,Top,XS,34.0,30.0,36.0,13.0,15,46
Anokhi,Top,S,36.0,32.0,39.0,13.0,15,46
Anokhi,Top,M,38.0,34.0,41.0,13.0,16,46
Anokhi,Top,L,40.0,36.0,43.0,14.0,16,46
Anokhi,Top,XL,42.0,38.0,45.0,14.0,16,46
Anokhi,Top,2XL,44.0,40.0,47.0,15.0,16,47
Anokhi,Top,3XL,46.0,42.0,49.0,15.0,16,47
Anokhi,Top,4XL,48.0,44.0,51.0,16.0,16,47
Anokhi,Top,5XL,50.0,46.0,53.0,16.5,17,47
Anokhi,Top,6XL,52.0,48.0,55.0,16.5,17,47
Cover Story,Top,XS,32.0,26.0,34.5,14.0,,
Cover Story,Top,S,34.0,28.0,36.5,14.5,,
Cover Story,Top,M,36.0,30.0,38.5,15.0,,
Cover Story,Top,L,38.0,32.0,40.5,15.5,,
Cover Story,Top,XL,40.0,34.0,42.5,16.0,,
Forever New,Top,XXS,30.0,23.0,33.0,,,
Forever New,Top,XS,33.0,26.0,36.0,,,
Forever New,Top,S,36.0,29.0,39.0,,,
Forever New,Top,M,39.0,32.0,42.0,,,
Forever New,Top,L,42.0,35.0,45.0,,,
Forever 21,Top,XS,32.0,24.5,33.5,,,
Forever 21,Top,S,34.5,26.5,35.5,,,
Forever 21,Top,M,36.5,28.5,39.0,,,
Forever 21,Top,L,38.5,30.5,43.0,,,
HRX,Top,XS,34.0,,,14.0,,
HRX,Top,S,46.0,,,14.5,,
HRX,Top,M,38.0,,,15.0,,
HRX,Top,L,40.0,,,15.5,,
HRX,Top,XL,42.0,,,16.0,,
Fab Alley,Top,XS,33.0,25.0,35.0,,,
Fab Alley,Top,S,34.0,26.0,36.0,,,
Fab Alley,Top,M,36.0,28.0,38.0,,,
Fab Alley,Top,L,38.0,30.0,40.0,,,
Fab Alley,Top,XL,40.0,32.0,42.0,,,
Fab Alley,Top,2XL,42.0,34.0,44.0,,,
Fab Alley,Top,3XL,44.0,36.0,46.0,,,
Fab Alley,Top,4XL,46.0,38.0,48.0,,,
W for Women,Top,6,34.25,31.5,40.25,14.5,,
W for Women,Top,8,37.0,34.0,43.0,14.75,,
W for Women,Top,10,39.25,36.5,44.75,15.0,,
W for Women,Top,12,41.0,38.5,46.25,15.5,,
W for Women,Top,14,42.5,40.5,48.0,16.0,,
W for Women,Top,16,44.0,42.5,50.0,16.5,,
W for Women,Top,18,49.0,47.0,55.0,17.0,,
Allen solly,Top,XS,34.5,,,14.38,,
Allen solly,Top,S,36.0,,,14.75,,
Allen solly,Top,M,38.0,,,15.25,,
Allen solly,Top,L,40.0,,,15.75,,
Allen solly,Top,XL,42.5,,,16.5,,
Allen solly,Top,2XL,45.0,,,17.25,,
Van Heusen,Top,XS,34.0,,,13.75,,
Van Heusen,Top,S,35.5,,,14.5,,
Van Heusen,Top,M,37.5,,,15.25,,
Van Heusen,Top,L,39.5,,,16.0,,
Van Heusen,Top,XL,41.875,,,16.75,,
Van Heusen,Top,2XL,44.25,,,17.5,,
Westside,Top,2XS,29.0,22.0,32.0,,,
Westside,Top,XS,31.0,24.0,34.0,,,
Westside,Top,S,33.0,26.0,36.0,,,
Westside,Top,M,35.0,28.0,38.0,,,
Westside,Top,L,37.0,30.0,40.0,,,
Westside,Top,XL,39.0,32.0,42.0,,,
Westside,Top,2XL,41.0,34.0,44.0,,,
Max Fashion,Top,XS,30.0,23.0,,14.0,,
Max Fashion,Top,S,32.0,25.0,,14.5,,
Max Fashion,Top,M,34.0,27.0,,15.0,,
Max Fashion,Top,L,36.0,29.0,,15.5,,
Max Fashion,Top,XL,38.0,31.0,,16.0,,
Max Fashion,Top,2XL,40.0,33.0,,16.8,,
Aurelia,Top,XS,34.0,31.0,19.0,14.0,,
Aurelia,Top,S,36.0,34.0,21.0,14.0,,
Aurelia,Top,M,39.0,37.0,22.0,15.0,,
Aurelia,Top,L,42.0,40.0,24.0,15.0,,
Aurelia,Top,XL,44.0,43.0,25.0,16.0,,
Aurelia,Top,2XL,48.0,47.0,27.0,16.0,,
Fable Street,Top,XS,32.5,27.5,35.5,,,
Fable Street,Top,S,34.5,29.5,37.5,,,
Fable Street,Top,M,36.5,31.5,39.5,,,
Fable Street,Top,L,38.5,33.5,41.5,,,
Fable Street,Top,XL,40.5,35.5,43.5,,,
Fable Street,Top,2XL,42.5,37.5,45.5,,,
Monte Carlo,Top,S,33.0,,,14.0,,
Monte Carlo,Top,M,35.0,,,14.5,,
Monte Carlo,Top,L,37.0,,,15.0,,
Monte Carlo,Top,XL,39.0,,,15.5,,
Monte Carlo,Top,2XL,41.0,,,16.0,,
Monte Carlo,Top,3XL,43.0,,,16.5,,
Nicobar,Top,XS,38.0,35.8,,15.8,,
Nicobar,Top,S,40.0,37.8,,16.3,,
Nicobar,Top,M,42.0,39.8,,16.8,,
Nicobar,Top,L,44.0,41.8,,17.3,,
Nicobar,Top,XL,46.0,43.8,,17.8,,
Nicobar,Top,2XL,50.0,47.8,,18.5,,
Nicobar,Top,3XL,54.0,51.8,,18.3,,
Okhai,Top,XS,36.0,30.0,,14.0,,
Okhai,Top,S,38.0,32.0,,14.0,,
Okhai,Top,M,39.0,34.0,,15.0,,
Okhai,Top,L,42.0,38.0,,15.0,,
Okhai,Top,XL,46.0,40.0,,15.5,,
Okhai,Top,2XL,48.0,42.0,,16.0,,
Bohame,Top,XS,32.0,27.0,35.5,14.0,,
Bohame,Top,S,34.0,29.0,37.5,14.5,,
Bohame,Top,M,36.0,31.0,39.5,15.0,,
Bohame,Top,L,38.0,33.0,41.5,15.5,,
Bohame,Top,XL,40.0,35.0,43.5,16.0,,
Bohame,Top,2XL,42.0,37.0,45.5,16.5,,
Wrangler,Top,XXS,30.5,25.0,,,,
Wrangler,Top,XS,32.5,27.0,,,,
Wrangler,Top,S,34.5,29.0,,,,
Wrangler,Top,M,36.5,31.0,,,,
Wrangler,Top,L,39.0,33.25,,,,
Wrangler,Top,XL,42.25,36.75,,,,
Wrangler,Top,XXL,45.25,40.0,,,,
Wrangler,Top,XXXL,48.0,42.0,,,,
